Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1991","1991","ha","6778","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1991","1991","hg/ha","47943","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1991","1991","tonnes","32496","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1992","1992","ha","6728","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1992","1992","hg/ha","47611","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1992","1992","tonnes","32033","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1993","1993","ha","6500","F","FAO estimate",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1993","1993","hg/ha","47692","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1993","1993","tonnes","31000","F","FAO estimate",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1994","1994","ha","6300","F","FAO estimate",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1994","1994","hg/ha","47619","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1994","1994","tonnes","30000","F","FAO estimate",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1995","1995","ha","6057","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1995","1995","hg/ha","48550","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1995","1995","tonnes","29407","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1996","1996","ha","7102","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1996","1996","hg/ha","45077","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1996","1996","tonnes","32014","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1997","1997","ha","7899","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1997","1997","hg/ha","47612","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1997","1997","tonnes","37609","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1998","1998","ha","6623","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1998","1998","hg/ha","53695","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1998","1998","tonnes","35562","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1999","1999","ha","5917","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1999","1999","hg/ha","51344","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1999","1999","tonnes","30380","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2000","2000","ha","6649","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2000","2000","hg/ha","51878","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2000","2000","tonnes","34494","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2001","2001","ha","6632","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2001","2001","hg/ha","49445","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2001","2001","tonnes","32792","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2002","2002","ha","6569","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2002","2002","hg/ha","51280","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2002","2002","tonnes","33686","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2003","2003","ha","6951","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2003","2003","hg/ha","49814","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2003","2003","tonnes","34626","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2004","2004","ha","7097","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2004","2004","hg/ha","43848","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2004","2004","tonnes","31119","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2005","2005","ha","6004","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2005","2005","hg/ha","56084","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2005","2005","tonnes","33673","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2006","2006","ha","7146","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2006","2006","hg/ha","53006","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2006","2006","tonnes","37878","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2007","2007","ha","4978","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2007","2007","hg/ha","57943","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2007","2007","tonnes","28844","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2008","2008","ha","4962","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2008","2008","hg/ha","54246","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2008","2008","tonnes","26917","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2009","2009","ha","5249","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2009","2009","hg/ha","52922","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2009","2009","tonnes","27779","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2010","2010","ha","5925","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2010","2010","hg/ha","52911","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2010","2010","tonnes","31350","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2011","2011","ha","6504","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2011","2011","hg/ha","50563","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2011","2011","tonnes","32886","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2012","2012","ha","7000","F","FAO estimate",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2012","2012","hg/ha","50000","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2012","2012","tonnes","35000","F","FAO estimate",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2013","2013","ha","5940","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2013","2013","hg/ha","61896","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2013","2013","tonnes","36766","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2014","2014","ha","5997","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2014","2014","hg/ha","49263","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2014","2014","tonnes","29543","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2015","2015","ha","6210","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2015","2015","hg/ha","54823","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2015","2015","tonnes","34045","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2016","2016","ha","6795","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2016","2016","hg/ha","52393","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2016","2016","tonnes","35601","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2017","2017","ha","7661","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2017","2017","hg/ha","54004","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2017","2017","tonnes","41373","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","2018","2018","ha","7172","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","2018","2018","hg/ha","64003","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","2018","2018","tonnes","45903","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1961","1961","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1961","1961","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1962","1962","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1962","1962","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1963","1963","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1963","1963","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1964","1964","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1964","1964","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1965","1965","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1965","1965","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1966","1966","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1966","1966","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1967","1967","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1967","1967","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1968","1968","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1968","1968","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1969","1969","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1969","1969","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1970","1970","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1970","1970","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1971","1971","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1971","1971","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1972","1972","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1972","1972","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1973","1973","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1973","1973","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1974","1974","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1974","1974","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1975","1975","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1975","1975","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1976","1976","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1976","1976","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1977","1977","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1977","1977","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1978","1978","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1978","1978","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1979","1979","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1979","1979","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1980","1980","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1980","1980","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1981","1981","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1981","1981","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1982","1982","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1982","1982","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1983","1983","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1983","1983","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1984","1984","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1984","1984","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1985","1985","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1985","1985","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1986","1986","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1986","1986","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1987","1987","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1987","1987","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1988","1988","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1988","1988","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1989","1989","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1989","1989","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1990","1990","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1990","1990","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1991","1991","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1991","1991","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1992","1992","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1992","1992","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1993","1993","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1993","1993","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1994","1994","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1994","1994","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1995","1995","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1995","1995","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1996","1996","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1996","1996","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1997","1997","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1997","1997","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1998","1998","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1998","1998","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","1999","1999","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","1999","1999","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2000","2000","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2000","2000","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2001","2001","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2001","2001","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2002","2002","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2002","2002","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2003","2003","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2003","2003","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2004","2004","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2004","2004","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2005","2005","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2005","2005","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2006","2006","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2006","2006","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2007","2007","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2007","2007","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2008","2008","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2008","2008","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2009","2009","ha","","M","Data not available",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2009","2009","tonnes","","M","Data not available",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2010","2010","ha","15000","*","Unofficial figure",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2010","2010","hg/ha","92600","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2010","2010","tonnes","138900","*","Unofficial figure",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2011","2011","ha","8000","*","Unofficial figure",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2011","2011","hg/ha","62469","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2011","2011","tonnes","49975","*","Unofficial figure",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2012","2012","ha","7000","*","Unofficial figure",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2012","2012","hg/ha","60714","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2012","2012","tonnes","42500","*","Unofficial figure",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2013","2013","ha","7000","*","Unofficial figure",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2013","2013","hg/ha","59429","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2013","2013","tonnes","41600","*","Unofficial figure",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2014","2014","ha","6000","*","Unofficial figure",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2014","2014","hg/ha","62633","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2014","2014","tonnes","37580","*","Unofficial figure",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2015","2015","ha","6000","*","Unofficial figure",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2015","2015","hg/ha","58333","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2015","2015","tonnes","35000","*","Unofficial figure",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2016","2016","ha","6843","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2016","2016","hg/ha","55618","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2016","2016","tonnes","38060","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2017","2017","ha","6599","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2017","2017","hg/ha","55886","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2017","2017","tonnes","36880","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5312","Area harvested","211","Pulses nes","2018","2018","ha","6564","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5419","Yield","211","Pulses nes","2018","2018","hg/ha","56875","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","211","Pulses nes","2018","2018","tonnes","37335","Im","FAO data based on imputation methodology",""
