"","trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd"
"64","mung0910/01","2010","Hermitage","G. Diam","RB",8.1,4,NA,0.25,3,2010-01-22,NA,NA,NA,NA,2010-03-18,"Kendon","sulphur",2400,2,2010-02-19,2010-02-26,NA,NA,NA,NA,NA,2,2010-05-14,2010-04-20,4.666666667,"""""1-9""""",0.577350269,"stdev",1.196004741,NA,0.038011153,0.063411903,"stdev",NA,NA,"Yes",NA,NA,58.6666666666667,10.7509689485801
"65","mung0910/01","2010","Hermitage","G. Diam","RB",7.8,4,NA,0.25,3,2010-01-22,NA,NA,NA,NA,2010-03-18,"Kendon","sulphur",2400,4,2010-03-18,NA,NA,NA,NA,NA,NA,1,2010-05-14,2010-04-20,2.666666667,"""""1-9""""",0.577350269,"stdev",1.084103226,NA,0.038011153,0.101596542,"stdev",NA,NA,"Yes",NA,NA,21.1666666666667,18.8038116703325
"66","mung0910/01","2010","Hermitage","G. Diam","RB",7.766666667,4,NA,0.25,3,2010-01-22,NA,NA,NA,NA,2010-03-18,"","carbendazim",250,3,2010-03-18,NA,NA,NA,NA,NA,NA,1,2010-05-14,2010-04-20,2.666666667,"""""1-9""""",0.577350269,"stdev",1.144192065,NA,0.038011153,0.103203529,"stdev",NA,NA,"Yes",NA,NA,35.3333333333333,7.25143663926903
"67","mung0910/02","2010","Kingaroy","Berken","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2010-05-19,2010-04-29,6.667,"""""1-9""""",17.9,"cv%",1.428,"",NA,12.5,"cv%",NA,NA,"No","GenStat analysis file available",110,NA,NA
"68","mung0910/02","2010","Kingaroy","Berken","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,2,2010-03-12,2010-03-26,2010-04-09,NA,NA,NA,NA,3,2010-05-19,2010-04-29,2.667,"""""1-9""""",17.9,"cv%",1.465,"",NA,103.217,"cv%",0.071,0.050932568,"No","GenStat analysis file available",110,NA,NA
"69","mung0910/02","2010","Kingaroy","Berken","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,3,2010-03-12,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,6,"""""1-9""""",17.9,"cv%",1.379,"",NA,103.217,"cv%",-0.015,-0.010760402,"No","GenStat analysis file available",110,NA,NA
"70","mung0910/02","2010","Kingaroy","Berken","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,4,2010-03-26,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,4.33,"""""1-9""""",17.9,"cv%",1.536,"",NA,103.217,"cv%",0.142,0.101865136,"No","GenStat analysis file available",110,NA,NA
"71","mung0910/02","2010","Kingaroy","Berken","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"","carbendazim",250,5,2010-03-26,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,3,"""""1-9""""",17.9,"cv%",1.542,"",NA,103.217,"cv%",0.148,0.106169297,"No","GenStat analysis file available",110,NA,NA
"72","mung0910/02","2010","Kingaroy","Crystal","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2010-05-19,2010-04-29,4,"""""1-9""""",17.9,"cv%",1.381,"",NA,103.217,"cv%",NA,NA,"No","GenStat analysis file available",110,NA,NA
"73","mung0910/02","2010","Kingaroy","Crystal","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,2,2010-03-12,2010-03-26,2010-04-09,NA,NA,NA,NA,3,2010-05-19,2010-04-29,1,"""""1-9""""",17.9,"cv%",1.249,"",NA,103.217,"cv%",-0.145,-0.104017217,"No","GenStat analysis file available",110,NA,NA
"74","mung0910/02","2010","Kingaroy","Crystal","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,3,2010-03-12,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,3.333,"""""1-9""""",17.9,"cv%",1.395,"",NA,103.217,"cv%",0.001,0.000717,"No","GenStat analysis file available",110,NA,NA
"75","mung0910/02","2010","Kingaroy","Crystal","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,4,2010-03-26,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,3.333,"""""1-9""""",17.9,"cv%",1.374,"",NA,103.217,"cv%",-0.02,-0.014347202,"No","GenStat analysis file available",110,NA,NA
"76","mung0910/02","2010","Kingaroy","Crystal","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"","carbendazim",250,5,2010-03-26,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,2,"""""1-9""""",17.9,"cv%",1.378,"",NA,103.217,"cv%",-0.016,-0.011477762,"No","GenStat analysis file available",110,NA,NA
"77","mung0910/02","2010","Kingaroy","Green Diamond","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2010-05-19,2010-04-29,3.667,"""""1-9""""",17.9,"cv%",1.373,"",NA,103.217,"cv%",NA,NA,"No","GenStat analysis file available",110,NA,NA
"78","mung0910/02","2010","Kingaroy","Green Diamond","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,2,2010-03-12,2010-03-26,2010-04-09,NA,NA,NA,NA,3,2010-05-19,2010-04-29,2,"""""1-9""""",17.9,"cv%",1.286,"",NA,103.217,"cv%",-0.108,-0.077474892,"No","GenStat analysis file available",110,NA,NA
"79","mung0910/02","2010","Kingaroy","Green Diamond","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,3,2010-03-12,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,3.333,"""""1-9""""",17.9,"cv%",1.177,"",NA,103.217,"cv%",-0.217,-0.155667145,"No","GenStat analysis file available",110,NA,NA
"80","mung0910/02","2010","Kingaroy","Green Diamond","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"Kendon","sulphur",2400,4,2010-03-26,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,3.333,"""""1-9""""",17.9,"cv%",1.306,"",NA,103.217,"cv%",-0.088,-0.06312769,"No","GenStat analysis file available",110,NA,NA
"81","mung0910/02","2010","Kingaroy","Green Diamond","RB",9.6,0.9,"",0.25,3,2010-01-29,NA,NA,NA,NA,2010-03-26,"","carbendazim",250,5,2010-03-26,NA,NA,NA,NA,NA,NA,1,2010-05-19,2010-04-29,1.667,"""""1-9""""",17.9,"cv%",1.264,"",NA,103.217,"cv%",-0.13,-0.093256815,"No","GenStat analysis file available",110,NA,NA
"82","mung1011/01","2011","Hermitage","Berken","RCB",11,4,NA,0.75,6,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"control","control",0,8,NA,NA,NA,NA,NA,NA,NA,0,2011-04-25,2011-04-11,4.666666667,"""""1-9""""",0.516397779,"stdev",1.6618554,NA,0.123816671,0.117323327,"stdev",NA,NA,"Yes",NA,NA,38.5,5.42217668469038
"83","mung1011/01","2011","Hermitage","Berken","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Folicur","tebuconazole",62.35,11,2011-03-28,NA,NA,NA,NA,NA,NA,1,2011-04-25,2011-04-11,2,"""""1-9""""",0,"stdev",1.7693124,NA,0.123816671,0.194419561,"stdev",NA,NA,"Yes",NA,NA,10.5,0
"84","mung1011/01","2011","Hermitage","Berken","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,10,2011-03-28,NA,NA,NA,NA,NA,NA,1,2011-04-25,2011-04-11,1,"""""1-9""""",0,"stdev",1.6087848,NA,0.123816671,0.362087345,"stdev",NA,NA,"Yes",NA,NA,0,0
"85","mung1011/01","2011","Hermitage","Berken","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,14,2011-02-28,2011-03-14,2011-03-14,NA,NA,NA,NA,3,2011-04-25,2011-04-11,1,"""""1-9""""",0,"stdev",1.6636098,NA,0.123816671,0.103725886,"stdev",NA,NA,"Yes",NA,NA,0,0
"86","mung1011/01","2011","Hermitage","Berken","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Kendon","sulphur",3000,9,2011-03-28,NA,NA,NA,NA,NA,NA,1,2011-04-25,2011-04-11,2.333333333,"""""1-9""""",0.577350269,"stdev",1.8083478,NA,0.123816671,0.111907481,"stdev",NA,NA,"Yes",NA,NA,14,6.06217782649107
"87","mung1011/01","2011","Hermitage","Berken","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Kendon","sulphur",3000,13,2011-02-28,2011-03-14,2011-03-14,NA,NA,NA,NA,3,2011-04-25,2011-04-11,1.666666667,"""""1-9""""",0.577350269,"stdev",1.7504526,NA,0.123816671,0.087323266,"stdev",NA,NA,"Yes",NA,NA,7,6.06217782649107
"88","mung1011/01","2011","Hermitage","Crystal","RCB",11,4,NA,0.75,6,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,2011-04-25,2011-04-11,5,"""""1-9""""",0,"stdev",1.387592,NA,0.123816671,0.12446517,"stdev",NA,NA,"Yes",NA,NA,42,0
"89","mung1011/01","2011","Hermitage","Crystal","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Folicur","tebuconazole",62.35,4,2011-03-28,NA,NA,NA,NA,NA,NA,1,2011-04-25,2011-04-11,2.333333333,"""""1-9""""",0.577350269,"stdev",1.543895467,NA,0.123816671,0.128326022,"stdev",NA,NA,"Yes",NA,NA,14,6.06217782649107
"90","mung1011/01","2011","Hermitage","Crystal","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,3,2011-03-28,NA,NA,NA,NA,NA,NA,1,2011-04-25,2011-04-11,1,"""""1-9""""",0,"stdev",1.519174,NA,0.123816671,0.064239393,"stdev",NA,NA,"Yes",NA,NA,0,0
"91","mung1011/01","2011","Hermitage","Crystal","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,7,2011-02-28,2011-03-14,2011-03-14,NA,NA,NA,NA,3,2011-04-25,2011-04-11,1,"""""1-9""""",0,"stdev",1.4270666,NA,0.123816671,0.302193243,"stdev",NA,NA,"Yes",NA,NA,0,0
"92","mung1011/01","2011","Hermitage","Crystal","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Kendon","sulphur",3000,2,2011-03-28,NA,NA,NA,NA,NA,NA,1,2011-04-25,2011-04-11,3,"""""1-9""""",0,"stdev",1.406531833,NA,0.123816671,0.112487861,"stdev",NA,NA,"Yes",NA,NA,21,0
"93","mung1011/01","2011","Hermitage","Crystal","RCB",11,4,NA,0.75,3,2011-01-24,NA,2011-03-22,NA,NA,2011-03-28,"Kendon","sulphur",3000,6,2011-02-28,2011-03-14,2011-03-14,NA,NA,NA,NA,3,2011-04-25,2011-04-11,2,"""""1-9""""",0,"stdev",1.638993367,NA,0.123816671,0.05062461,"stdev",NA,NA,"Yes",NA,NA,10.5,0
"94","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,13,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,1.666666667,"""""1-9""""",0.577350269,"stdev",0.8621,NA,0.054006434,0.11730386,"stdev",NA,NA,"Yes",NA,NA,4.16666666666667,14.1450815951458
"95","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,3,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,2,"""""1-9""""",0,"stdev",0.77182,NA,0.054006434,0.135102702,"stdev",NA,NA,"Yes",NA,NA,12.5,20.1804360706106
"96","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,16,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,1.666666667,"""""1-9""""",0.577350269,"stdev",0.8658,NA,0.054006434,0.191049832,"stdev",NA,NA,"Yes",NA,NA,19.6666666666667,26.5581123827228
"97","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,6,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,1,"""""1-9""""",0,"stdev",0.691345,NA,0.054006434,0.020356726,"stdev",NA,NA,"Yes",NA,NA,-11,0
"98","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,19,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,1,"""""1-9""""",0,"stdev",0.900395,NA,0.054006434,0.122504648,"stdev",NA,NA,"Yes",NA,NA,-11,0
"99","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,9,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,1,"""""1-9""""",0,"stdev",0.8288925,NA,0.054006434,0.15187593,"stdev",NA,NA,"Yes",NA,NA,-11,0
"100","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"control","control",0,11,NA,NA,NA,NA,NA,NA,NA,0,NA,2011-05-11,8,"""""1-9""""",0,"stdev",0.79846,NA,0.054006434,0.151042955,"stdev",NA,NA,"Yes",NA,NA,200,10.5
"101","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,2011-05-11,7.666666667,"""""1-9""""",0.577350269,"stdev",0.79846,NA,0.054006434,0.165196506,"stdev",NA,NA,"Yes",NA,NA,162.166666666667,16.1658075373095
"102","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,14,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,5.333333333,"""""1-9""""",1.154700538,"stdev",1.05857,NA,0.054006434,0.082443813,"stdev",NA,NA,"Yes",NA,NA,85.3333333333333,10.7509689485801
"103","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,4,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,4.333333333,"""""1-9""""",0.577350269,"stdev",0.730195,NA,0.054006434,0.186868041,"stdev",NA,NA,"Yes",NA,NA,39.3333333333333,9.07377172587747
"104","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,17,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,3.333333333,"""""1-9""""",0.577350269,"stdev",0.986235,NA,0.054006434,0.146495822,"stdev",NA,NA,"Yes",NA,NA,44.3333333333333,4.04145188432738
"105","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,7,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,4,"""""1-9""""",0,"stdev",0.87542,NA,0.054006434,0.285158942,"stdev",NA,NA,"Yes",NA,NA,34.5,6.06217782649107
"106","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,20,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,3.666666667,"""""1-9""""",0.577350269,"stdev",0.86358,NA,0.054006434,0.090367908,"stdev",NA,NA,"Yes",NA,NA,7.66666666666667,4.04145188432738
"107","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Folicur","tebuconazole",62.35,10,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,3,"""""1-9""""",0,"stdev",0.64084,NA,0.054006434,0.160856516,"stdev",NA,NA,"Yes",NA,NA,3,0
"108","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,12,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,5.666666667,"""""1-9""""",0.577350269,"stdev",0.79624,NA,0.054006434,0.209443451,"stdev",NA,NA,"Yes",NA,NA,92.1666666666667,4.04145188432738
"109","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,2,2011-03-23,NA,NA,NA,NA,NA,NA,1,NA,2011-05-11,5.333333333,"""""1-9""""",0.577350269,"stdev",0.665445,NA,0.054006434,0.050660283,"stdev",NA,NA,"Yes",NA,NA,54.3333333333333,10.1036297108185
"110","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,15,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,3.333333333,"""""1-9""""",0.577350269,"stdev",0.868945,NA,0.054006434,0.110523527,"stdev",NA,NA,"Yes",NA,NA,38.3333333333333,12.8970280814354
"111","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,5,2011-03-23,2011-04-13,NA,NA,NA,NA,NA,2,NA,2011-05-11,3,"""""1-9""""",0,"stdev",0.71336,NA,0.054006434,0.203007388,"stdev",NA,NA,"Yes",NA,NA,45.5,6.06217782649107
"112","mung1011/02","2011","Kingaroy","Berken","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,18,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,3.333333333,"""""1-9""""",0.577350269,"stdev",0.88356,NA,0.054006434,0.133374479,"stdev",NA,NA,"Yes",NA,NA,22.8333333333333,16.1658075373095
"113","mung1011/02","2011","Kingaroy","Crystal","RCB",11,4,NA,0.75,6,2011-02-02,NA,NA,NA,NA,2011-03-22,"Kendon","sulphur",3000,8,2011-03-09,2011-03-30,2011-04-12,NA,NA,NA,NA,3,NA,2011-05-11,2.333333333,"""""1-9""""",0.577350269,"stdev",0.64713,NA,0.054006434,0.188236659,"stdev",NA,NA,"Yes",NA,NA,1.83333333333333,10.1036297108184
"114","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,2012-05-17,7.5,"""""1-9""""",0.95,"lsd (P=0.05)",0.738,"",NA,NA,NA,NA,NA,"no","final assessment date 87 DAS",-40959,NA,NA
"115","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Folicur","tebuconazole",62.35,2,2012-04-02,NA,NA,NA,NA,NA,NA,1,NA,2012-05-17,4.3,"""""1-9""""",0.95,"lsd (P=0.05)",0.81,"",NA,NA,NA,0.072,0.097560976,"no","final assessment date 87 DAS",-40959,NA,NA
"116","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Folicur","tebuconazole",62.35,3,2012-04-02,2012-04-16,NA,NA,NA,NA,NA,2,NA,2012-05-17,3.3,"""""1-9""""",0.95,"lsd (P=0.05)",0.948,"",NA,NA,NA,0.21,0.284552846,"no","final assessment date 87 DAS",-40959,NA,NA
"117","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Barmac wettable","sulphur",3000,4,2012-04-02,NA,NA,NA,NA,NA,NA,1,NA,2012-05-17,6.7,"""""1-9""""",0.95,"lsd (P=0.05)",0.785,"",NA,NA,NA,0.047,0.063685637,"no","final assessment date 87 DAS",-40959,NA,NA
"118","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Barmac wettable","sulphur",3000,5,2012-04-02,2012-04-16,NA,NA,NA,NA,NA,2,NA,2012-05-17,4.3,"""""1-9""""",0.95,"lsd (P=0.05)",0.969,"",NA,NA,NA,0.231,0.31300813,"no","final assessment date 87 DAS",-40959,NA,NA
"119","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",40,6,2012-04-02,NA,NA,NA,NA,NA,NA,1,NA,2012-05-17,4,"""""1-9""""",0.95,"lsd (P=0.05)",0.923,"",NA,NA,NA,0.185,0.250677507,"no","final assessment date 87 DAS",-40959,NA,NA
"120","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",40,7,2012-04-02,2012-04-16,NA,NA,NA,NA,NA,2,NA,2012-05-17,2,"""""1-9""""",0.95,"lsd (P=0.05)",0.965,"",NA,NA,NA,0.227,0.307588076,"no","final assessment date 87 DAS",-40959,NA,NA
"121","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",80,8,2012-04-02,NA,NA,NA,NA,NA,NA,1,NA,2012-05-17,3,"""""1-9""""",0.95,"lsd (P=0.05)",0.742,"",NA,NA,NA,0.004,0.005420054,"no","final assessment date 87 DAS",-40959,NA,NA
"122","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",80,9,2012-04-02,2012-04-16,NA,NA,NA,NA,NA,2,NA,2012-05-17,2,"""""1-9""""",0.95,"lsd (P=0.05)",0.715,"",NA,NA,NA,-0.023,-0.031165312,"no","final assessment date 87 DAS",-40959,NA,NA
"123","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,10,2012-04-02,NA,NA,NA,NA,NA,NA,1,NA,2012-05-17,3,"""""1-9""""",0.95,"lsd (P=0.05)",0.773,"",NA,NA,NA,0.035,0.047425474,"no","final assessment date 87 DAS",-40959,NA,NA
"124","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Amistar Xtra","200 g/L azoxystrobin + 80 g/L cyproconazole",120,11,2012-04-02,2012-04-16,NA,NA,NA,NA,NA,2,NA,2012-05-17,2,"""""1-9""""",0.95,"lsd (P=0.05)",0.707,"",NA,NA,NA,-0.031,-0.04200542,"no","final assessment date 87 DAS",-40959,NA,NA
"125","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Tilt","propiconazole",62.5,12,2012-04-02,NA,NA,NA,NA,NA,NA,1,NA,2012-05-17,6.3,"""""1-9""""",0.95,"lsd (P=0.05)",0.91,"",NA,NA,NA,0.172,0.233062331,"no","final assessment date 87 DAS",-40959,NA,NA
"126","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Tilt","propiconazole",62.5,13,2012-04-02,2012-04-16,NA,NA,NA,NA,NA,2,NA,2012-05-17,3.3,"""""1-9""""",0.95,"lsd (P=0.05)",0.925,"",NA,NA,NA,0.187,0.253387534,"no","final assessment date 87 DAS",-40959,NA,NA
"127","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Tilt","propiconazole",125,14,2012-04-02,NA,NA,NA,NA,NA,NA,1,NA,2012-05-17,5.3,"""""1-9""""",0.95,"lsd (P=0.05)",0.86,"",NA,NA,NA,0.122,0.165311653,"no","final assessment date 87 DAS",-40959,NA,NA
"128","mung1112/01","2012","Gatton","Crystal","RCB",11,4,"",0.75,3,2012-02-20,NA,2012-04-02,NA,NA,2012-04-02,"Tilt","propiconazole",125,15,2012-04-02,2012-04-16,NA,NA,NA,NA,NA,2,NA,2012-05-17,2,"""""1-9""""",0.95,"lsd (P=0.05)",0.944,"",NA,NA,NA,0.206,0.279132791,"no","final assessment date 87 DAS",-40959,NA,NA
"129","mung1112/02","2012","Kingaroy","Crystal","RCB",12,4,"",0.75,3,2012-02-03,NA,2012-03-12,NA,NA,2012-03-12,"control","control",0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,2012-04-30,8,"""""1-9""""",1.3,"lsd (P=0.05)",0.751,"",NA,0.246,"lsd (P=0.05)",NA,NA,"no","final assessment date 87 DAS",-40942,NA,NA
